no;question;a;b;c;d;e;answer;explained;source;qa_comb
45;Undang-Undang Nomor 12 Tahun 2008 tentang Perubahan Kedua Atas Undang-Undang Nomor 32 Tahun 2004 tentang Pemerintahan Daerah, dalam Pasal  236C menetapkan...;Penanganan sengketa hasil penghitungan suara pemilihan kepala daerah dan wakil kepala daerah oleh Mahkamah Agung dialihkan kepada Mahkamah Konstitusi paling lama 18 (delapan belas) bulan sejak Undang-Undang ini diundangkan;Mahkamah Agung berwenang mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum;Mahkamah Konstitusi berwenang mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum;Kepolisian Negara Indonesia mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum;Presiden Republik Indonesia mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum;a;"Undang-Undang Nomor 12 Tahun 2008 tentang Perubahan Kedua Atas Undang-Undang Nomor 32 Tahun 2004 tentang Pemerintahan Daerah, dalam Pasal  236C menetapkan, ""Penanganan sengketa hasil penghitungan suara pemilihan  kepala daerah dan wakil kepala daerah oleh Mahkamah Agung dialihkan kepada Mahkamah Konstitusi paling lama 18 (delapan belas) bulan sejak Undang-Undang ini diundangkan""";457_putusan_sidang_no_9-PHPU-D-VIII-2010_030610.pdf;Undang-Undang Nomor 12 Tahun 2008 tentang Perubahan Kedua Atas Undang-Undang Nomor 32 Tahun 2004 tentang Pemerintahan Daerah, dalam Pasal  236C menetapkan...\n A.  Penanganan sengketa hasil penghitungan suara pemilihan kepala daerah dan wakil kepala daerah oleh Mahkamah Agung dialihkan kepada Mahkamah Konstitusi paling lama 18 (delapan belas) bulan sejak Undang-Undang ini diundangkan\n B.  Mahkamah Agung berwenang mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum\n C.  Mahkamah Konstitusi berwenang mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum\n D.  Kepolisian Negara Indonesia mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum\n E.  Presiden Republik Indonesia mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum
46;Gubernur, Bupati, dan walikota masing-masing sebagai kepala pemerintah daerah provinsi, kabupaten, dan kota dipilih secara demokratis, ada pada pasal…;UU Dasar 1945 Pasal 18 ayat (4);UU Dasar 1945 Pasal 22E ayat (1);UU Dasar 1945 Pasal 27 ayat (1);UU Dasar 1945 Pasal 28C ayat (2);UU Dasar 1945 Pasal 28D ayat (1);a;UU Dasar 1945 Pasal 18 ayat (4) : Gubernur, Bupati, dan walikota masing-masing sebagai kepala pemerintah daerah provinsi, kabupaten, dan kota dipilih secara demokratis.;526_putusan_sidang_PUTUSAN%2520PUU%2520TOLI-TOLI_siap%2520baca_19%2520Juli%25202010.pdf;Gubernur, Bupati, dan walikota masing-masing sebagai kepala pemerintah daerah provinsi, kabupaten, dan kota dipilih secara demokratis, ada pada pasal…\n A.  UU Dasar 1945 Pasal 18 ayat (4)\n B.  UU Dasar 1945 Pasal 22E ayat (1)\n C.  UU Dasar 1945 Pasal 27 ayat (1)\n D.  UU Dasar 1945 Pasal 28C ayat (2)\n E.  UU Dasar 1945 Pasal 28D ayat (1)
47;Pemilihan umum dilaksanakan secara langsung, umum, bebas, rahasia, jujur, dan adil setiap lima tahun sekali, pada pasal…;UU Dasar 1945 Pasal 18 ayat (4);UU Dasar 1945 Pasal 22E ayat (1);UU Dasar 1945 Pasal 27 ayat (1);UU Dasar 1945 Pasal 28C ayat (2);UU Dasar 1945 Pasal 28D ayat (1);b;UU Dasar 1945 Pasal 22E ayat (1) : Pemilihan umum dilaksanakan secara langsung, umum, bebas, rahasia, jujur, dan adil setiap lima tahun sekali. ;526_putusan_sidang_PUTUSAN%2520PUU%2520TOLI-TOLI_siap%2520baca_19%2520Juli%25202010.pdf;Pemilihan umum dilaksanakan secara langsung, umum, bebas, rahasia, jujur, dan adil setiap lima tahun sekali, pada pasal…\n A.  UU Dasar 1945 Pasal 18 ayat (4)\n B.  UU Dasar 1945 Pasal 22E ayat (1)\n C.  UU Dasar 1945 Pasal 27 ayat (1)\n D.  UU Dasar 1945 Pasal 28C ayat (2)\n E.  UU Dasar 1945 Pasal 28D ayat (1)
48;Segala warga negara bersamaan kedudukannya didalam hukum dan pemerintahan dan wajib menjunjung hukum dan pemerintahan itu dengan tidak ada kecualinya, pada pasal…;UU Dasar 1945 Pasal 18 ayat (4);UU Dasar 1945 Pasal 22E ayat (1);UU Dasar 1945 Pasal 27 ayat (1);UU Dasar 1945 Pasal 28C ayat (2);UU Dasar 1945 Pasal 28D ayat (1);c;UU Dasar 1945 Pasal 27 ayat (1) : Segala warga negara bersamaan kedudukannya didalam hukum dan pemerintahan dan wajib menjunjung hukum dan pemerintahan itu dengan tidak ada kecualinya. ;526_putusan_sidang_PUTUSAN%2520PUU%2520TOLI-TOLI_siap%2520baca_19%2520Juli%25202010.pdf;Segala warga negara bersamaan kedudukannya didalam hukum dan pemerintahan dan wajib menjunjung hukum dan pemerintahan itu dengan tidak ada kecualinya, pada pasal…\n A.  UU Dasar 1945 Pasal 18 ayat (4)\n B.  UU Dasar 1945 Pasal 22E ayat (1)\n C.  UU Dasar 1945 Pasal 27 ayat (1)\n D.  UU Dasar 1945 Pasal 28C ayat (2)\n E.  UU Dasar 1945 Pasal 28D ayat (1)
49;Setiap orang berhak untuk memajukan dirinya dalam memperjuangkan haknya secara kolektif untuk membangun masyarakat, bangsa dan negaranya, ada pada pasal…;UU Dasar 1945 Pasal 18 ayat (4);UU Dasar 1945 Pasal 22E ayat (1);UU Dasar 1945 Pasal 27 ayat (1);UU Dasar 1945 Pasal 28C ayat (2);UU Dasar 1945 Pasal 28D ayat (1);d;UU Dasar 1945 Pasal 28C ayat (2) : Setiap orang berhak untuk memajukan dirinya dalam memperjuangkan haknya secara kolektif untuk membangun masyarakat, bangsa dan negaranya. ;526_putusan_sidang_PUTUSAN%2520PUU%2520TOLI-TOLI_siap%2520baca_19%2520Juli%25202010.pdf;Setiap orang berhak untuk memajukan dirinya dalam memperjuangkan haknya secara kolektif untuk membangun masyarakat, bangsa dan negaranya, ada pada pasal…\n A.  UU Dasar 1945 Pasal 18 ayat (4)\n B.  UU Dasar 1945 Pasal 22E ayat (1)\n C.  UU Dasar 1945 Pasal 27 ayat (1)\n D.  UU Dasar 1945 Pasal 28C ayat (2)\n E.  UU Dasar 1945 Pasal 28D ayat (1)
50;Setiap orang berhak atas pengakuan, jaminan, perlindungan, dan kepastian hukum yan adil serta perlakuan yang sama dihadapan hukum, ada pada pasal…;UU Dasar 1945 Pasal 18 ayat (4);UU Dasar 1945 Pasal 22E ayat (1);UU Dasar 1945 Pasal 27 ayat (1);UU Dasar 1945 Pasal 28C ayat (2);UU Dasar 1945 Pasal 28D ayat (1);e;UU Dasar 1945 Pasal 28D ayat (1) : Setiap orang berhak atas pengakuan, jaminan, perlindungan, dan kepastian hukum yan adil serta perlakuan yang sama dihadapan hukum.;526_putusan_sidang_PUTUSAN%2520PUU%2520TOLI-TOLI_siap%2520baca_19%2520Juli%25202010.pdf;Setiap orang berhak atas pengakuan, jaminan, perlindungan, dan kepastian hukum yan adil serta perlakuan yang sama dihadapan hukum, ada pada pasal…\n A.  UU Dasar 1945 Pasal 18 ayat (4)\n B.  UU Dasar 1945 Pasal 22E ayat (1)\n C.  UU Dasar 1945 Pasal 27 ayat (1)\n D.  UU Dasar 1945 Pasal 28C ayat (2)\n E.  UU Dasar 1945 Pasal 28D ayat (1)
51;Based on Article 24C paragraph (1) of the 1945 Constitution of the Republic of Indonesia (hereinafter referred to as the 1945 Constitution) states that…;The Supreme Court has the authority to adjudicate at the first and final level whose decisions are final, among other things, to decide disputes regarding the results of general elections ;The Constitutional Court has the authority to adjudicate at the first and final level whose decisions are final, among other things, to decide disputes regarding the results of general elections ;The Indonesian National Police adjudicates at the first and final level whose decision is final, among other things, to decide disputes regarding the results of the general election;Presiden Republik Indonesia mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum;The President of the Republic of Indonesia adjudicates at the first and final level whose decision is final, among other things, to decide disputes regarding the results of the general election ;b;The Constitutional Court has the authority to adjudicate at the first and final level whose decisions are final, among other things, to decide disputes regarding the results of general elections;3282_putusan_mkri_6516.pdf;Based on Article 24C paragraph (1) of the 1945 Constitution of the Republic of Indonesia (hereinafter referred to as the 1945 Constitution) states that…\n A.  The Supreme Court has the authority to adjudicate at the first and final level whose decisions are final, among other things, to decide disputes regarding the results of general elections \n B.  The Constitutional Court has the authority to adjudicate at the first and final level whose decisions are final, among other things, to decide disputes regarding the results of general elections \n C.  The Indonesian National Police adjudicates at the first and final level whose decision is final, among other things, to decide disputes regarding the results of the general election\n D.  Presiden Republik Indonesia mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final, antara lain, untuk memutus perselisihan tentang hasil pemilihan umum\n E.  The President of the Republic of Indonesia adjudicates at the first and final level whose decision is final, among other things, to decide disputes regarding the results of the general election 
52;Applications are submitted within a maximum period of 3 x 24 (three times twenty four) hours from the announcement of the determination of the vote results for the National DPR and DPRD Member Elections by the KPU. The contents of this statement are in article...;Article 70 paragraph (3) of the Constitutional Court Law, Article 111 paragraph (2) of the Election Law, and Article 6 paragraph (1) of PMK Number 2 of 2018;Article 74 paragraph (3) of the Constitutional Court Law, Article 474 paragraph (2) of the Election Law, and Article 2 paragraph (1) of PMK Number 2 of 2011;Article 74 paragraph (3) of the Constitutional Court Law, Article 474 paragraph (2) of the Election Law, and Article 1 paragraph (1) of PMK Number 2 of 2018;Pasal 74 ayat (3) UU MK, Pasal 474 ayat (2) UU Pemilu, dan Pasal 6 ayat (1) PMK Nomor 2 Tahun 2018;Article 74 paragraph (3) of the Constitutional Court Law, Article 474 paragraph (2) of the Election Law, and Article 6 paragraph (1) of PMK Number 2 of 2018;d;Whereas based on Article 74 paragraph (3) of the Constitutional Court Law, Article 474 paragraph (2) of the Election Law, and Article 6 paragraph (1) of PMK Number 2 of 2018, applications are submitted within a maximum period of 3 x 24 (three times twenty four) hours since the KPU announced the determination of the vote results for the National DPR and DPRD Member Elections;3270_putusan_mkri_6508.pdf;Applications are submitted within a maximum period of 3 x 24 (three times twenty four) hours from the announcement of the determination of the vote results for the National DPR and DPRD Member Elections by the KPU. The contents of this statement are in article...\n A.  Article 70 paragraph (3) of the Constitutional Court Law, Article 111 paragraph (2) of the Election Law, and Article 6 paragraph (1) of PMK Number 2 of 2018\n B.  Article 74 paragraph (3) of the Constitutional Court Law, Article 474 paragraph (2) of the Election Law, and Article 2 paragraph (1) of PMK Number 2 of 2011\n C.  Article 74 paragraph (3) of the Constitutional Court Law, Article 474 paragraph (2) of the Election Law, and Article 1 paragraph (1) of PMK Number 2 of 2018\n D.  Pasal 74 ayat (3) UU MK, Pasal 474 ayat (2) UU Pemilu, dan Pasal 6 ayat (1) PMK Nomor 2 Tahun 2018\n E.  Article 74 paragraph (3) of the Constitutional Court Law, Article 474 paragraph (2) of the Election Law, and Article 6 paragraph (1) of PMK Number 2 of 2018
53;Article 1 paragraph (3) of the 1945 Constitution which reads…;Indonesia is a country of law;Indonesia is an Islamic country;Indonesia is a liberal country;Negara Indonesia adalah negara kepulauan;Indonesia is an archipelagic country;a;"Article 1 paragraph (3) of the 1945 Constitution which reads ""The State of Indonesia is a State of Law"" ";1338_putusan_sidang_114%20PUU%202012%20-%20KUHAP%20-%20telah%20ucap%2028%20Maret%202013.pdf;Article 1 paragraph (3) of the 1945 Constitution which reads…\n A.  Indonesia is a country of law\n B.  Indonesia is an Islamic country\n C.  Indonesia is a liberal country\n D.  Negara Indonesia adalah negara kepulauan\n E.  Indonesia is an archipelagic country
54;Whereas the norm of Article 244 of the KUHP has created uncertainty for the Petitioner and that this uncertainty has harmed his Constitutional Rights as stipulated in…;Article 21D paragraph (1) of the 1945 Constitution;Article 22D paragraph (1) of the 1945 Constitution;Article 23D paragraph (1) of the 1945 Constitution;Pasal 24D ayat (1) UUD 1945;Article 24D paragraph (1) of the 1945 Constitution;e;Whereas the norm of Article 244 of the Criminal Procedure Code has created uncertainty for the Petitioner and that this uncertainty has harmed his Constitutional Rights as stipulated in Article 28D paragraph (1) of the 1945 Constitution. ;1338_putusan_sidang_114%2520PUU%25202012%2520-%2520KUHAP%2520-%2520telah%2520ucap%252028%2520Maret%25202013.pdf;Whereas the norm of Article 244 of the KUHP has created uncertainty for the Petitioner and that this uncertainty has harmed his Constitutional Rights as stipulated in…\n A.  Article 21D paragraph (1) of the 1945 Constitution\n B.  Article 22D paragraph (1) of the 1945 Constitution\n C.  Article 23D paragraph (1) of the 1945 Constitution\n D.  Pasal 24D ayat (1) UUD 1945\n E.  Article 24D paragraph (1) of the 1945 Constitution
55;The formulation of Article 244 of the KUHP reads...;Decisions in criminal cases cannot be given by the Supreme Court, they can only be given by the Constitutional Court.;Regarding a criminal case decision given at the final level by a court other than the Supreme Court, the defendant or Public Prosecutor may submit a request for a cassation hearing to the Supreme Court against the acquittal decision.;Regarding criminal case decisions rendered at the final level by courts other than the Supreme Court, the defendant or Public Prosecutor may submit a request for a cassation hearing to the Supreme Court except for acquittal decisions.;Mengenai kedudukan hukum para Pemohon Pemerintah menyerahkansepenuhnya kepada Majelis Hakim untuk menilai dan memutusnya.;Regarding the legal status of the Petitioners, the Government has left it entirely up to the Panel of Judges to assess and decide.;c;"The formulation of Article 244 of the Criminal Procedure Code is ""Regarding a decision in a criminal case rendered at the final level by a court other than the Supreme Court, the defendant or Public Prosecutor may submit a request for a cassation hearing to the Supreme Court except for an acquittal decision.""";1338_putusan_sidang_114%2520PUU%25202012%2520-%2520KUHAP%2520-%2520telah%2520ucap%252028%2520Maret%25202013.pdf;The formulation of Article 244 of the KUHP reads...\n A.  Decisions in criminal cases cannot be given by the Supreme Court, they can only be given by the Constitutional Court.\n B.  Regarding a criminal case decision given at the final level by a court other than the Supreme Court, the defendant or Public Prosecutor may submit a request for a cassation hearing to the Supreme Court against the acquittal decision.\n C.  Regarding criminal case decisions rendered at the final level by courts other than the Supreme Court, the defendant or Public Prosecutor may submit a request for a cassation hearing to the Supreme Court except for acquittal decisions.\n D.  Mengenai kedudukan hukum para Pemohon Pemerintah menyerahkansepenuhnya kepada Majelis Hakim untuk menilai dan memutusnya.\n E.  Regarding the legal status of the Petitioners, the Government has left it entirely up to the Panel of Judges to assess and decide.
56;All citizens are equal under the law and government and are obliged to uphold the law and government without exception, as stated in Article…;Article 27 paragraph (1);Article 28C paragraph (2);Article 28D paragraph (1);Article 28E paragraph (3);Article 28I paragraph (2);a;"Article 27 paragraph (1) reads: ""All citizens have equal status under the law and government and are obliged to uphold the law and government without exception."" ";1403_putusan_sidang_17%2520PUU%25202013%2520telah%2520ucap%252012%2520Juni%25202013.pdf;All citizens are equal under the law and government and are obliged to uphold the law and government without exception, as stated in Article…\n A.  Article 27 paragraph (1)\n B.  Article 28C paragraph (2)\n C.  Article 28D paragraph (1)\n D.  Article 28E paragraph (3)\n E.  Article 28I paragraph (2)
57;Everyone has the right to advance themselves in fighting for their rights collectively to develop their society, nation and state, as stated in Article…;Article 27 paragraph (1);Article 28C paragraph (2);Article 28D paragraph (1);Article 28E paragraph (3);Article 28I paragraph (2);b;"Article 28C paragraph (2) reads: ""Every person has the right to advance himself in fighting for his rights collectively to develop his society, nation and state""";1403_putusan_sidang_17%2520PUU%25202013%2520telah%2520ucap%252012%2520Juni%25202013.pdf;Everyone has the right to advance themselves in fighting for their rights collectively to develop their society, nation and state, as stated in Article…\n A.  Article 27 paragraph (1)\n B.  Article 28C paragraph (2)\n C.  Article 28D paragraph (1)\n D.  Article 28E paragraph (3)\n E.  Article 28I paragraph (2)
58;Everyone has the right to recognition, guarantees, protection and fair legal certainty as well as equal treatment before the law, as stated in Article…;Article 27 paragraph (1);Article 28C paragraph (2);Article 28D paragraph (1);Article 28E paragraph (3);Article 28I paragraph (2);c;"Article 28D paragraph (1) reads: ""Everyone has the right to recognition, guarantees, protection and fair legal certainty as well as equal treatment before the law""";1403_putusan_sidang_17%2520PUU%25202013%2520telah%2520ucap%252012%2520Juni%25202013.pdf;Everyone has the right to recognition, guarantees, protection and fair legal certainty as well as equal treatment before the law, as stated in Article…\n A.  Article 27 paragraph (1)\n B.  Article 28C paragraph (2)\n C.  Article 28D paragraph (1)\n D.  Article 28E paragraph (3)\n E.  Article 28I paragraph (2)
59;Everyone has the right to freedom of association, assembly and expression of opinion, as stated in Article…;Article 27 paragraph (1);Article 28C paragraph (2);Article 28D paragraph (1);Article 28E paragraph (3);Article 28I paragraph (2);d;"Article 28E paragraph (3) reads: ""Everyone has the right to freedom of association, assembly and expression of opinion"" ";1403_putusan_sidang_17%2520PUU%25202013%2520telah%2520ucap%252012%2520Juni%25202013.pdf;Everyone has the right to freedom of association, assembly and expression of opinion, as stated in Article…\n A.  Article 27 paragraph (1)\n B.  Article 28C paragraph (2)\n C.  Article 28D paragraph (1)\n D.  Article 28E paragraph (3)\n E.  Article 28I paragraph (2)
60;Every person has the right to be free from discriminatory treatment on any basis and has the right to receive protection against such discriminatory treatment, as stated in Article…;Article 27 paragraph (1);Article 28C paragraph (2);Article 28D paragraph (1);Article 28E paragraph (3);Article 28I paragraph (2);e;"Article 28I paragraph (2) reads: ""Every person has the right to be free from discriminatory treatment on any basis and has the right to receive protection against such discriminatory treatment.""";1403_putusan_sidang_17%2520PUU%25202013%2520telah%2520ucap%252012%2520Juni%25202013.pdf;Every person has the right to be free from discriminatory treatment on any basis and has the right to receive protection against such discriminatory treatment, as stated in Article…\n A.  Article 27 paragraph (1)\n B.  Article 28C paragraph (2)\n C.  Article 28D paragraph (1)\n D.  Article 28E paragraph (3)\n E.  Article 28I paragraph (2)
61;The applicant can withdraw his application before or during the Constitutional Court examination, and such withdrawal means that the application cannot be resubmitted, in article…;Article 31 of Law Number 24 of 2003 concerning the Constitutional Court;Article 32 of Law Number 24 of 2003 concerning the Constitutional Court;Article 35 of Law Number 23 of 2003 concerning the Constitutional Court;Article 35 of Law Number 24 of 2003 concerning the Constitutional Court;Article 35 of Law Number 25 of 2003 concerning the Constitutional Court;d;that based on Article 35 of Law Number 24 of 2003 concerning the Constitutional Court (State Gazette of the Republic of Indonesia of 2003 Number 98, Supplement to State Gazette of the Republic of Indonesia Number 4316), the Petitioner can withdraw his petition before or during the Constitutional Court examination, and the withdrawal resulting in the application not being able to be resubmitted.;782_putusan_sidang_Ketetapan%252012-PUU-IX-2011.pdf;The applicant can withdraw his application before or during the Constitutional Court examination, and such withdrawal means that the application cannot be resubmitted, in article…\n A.  Article 31 of Law Number 24 of 2003 concerning the Constitutional Court\n B.  Article 32 of Law Number 24 of 2003 concerning the Constitutional Court\n C.  Article 35 of Law Number 23 of 2003 concerning the Constitutional Court\n D.  Article 35 of Law Number 24 of 2003 concerning the Constitutional Court\n E.  Article 35 of Law Number 25 of 2003 concerning the Constitutional Court
62;Regarding the General Election, Members of the DPR, DPD, and DPRD stated that election participants and members of the public, through witnesses who were present, could submit objections to the course and results of the vote count at the TPS, PPS, PPK, City/Regency KPUD, Provincial KPU, and Central KPU. If it turns out that there are things that are not in accordance with statutory regulations, it is on...;Article 96 paragraph (8), Article 95 paragraph (3), Article 98 paragraph (3), Article 99 paragraph (5), Article 100 paragraph (5), and Article 101 paragraph (6);Article 96 paragraph (8), Article 95 paragraph (1), Article 98 paragraph (3), Article 99 paragraph (5), Article 100 paragraph (5), and Article 101 paragraph (6);Article 96 paragraph (8), Article 96 paragraph (3), Article 98 paragraph (3), Article 99 paragraph (5), Article 100 paragraph (5), and Article 101 paragraph (6);Article 96 paragraph (8), Article 97 paragraph (9), Article 98 paragraph (3), Article 99 paragraph (5), Article 100 paragraph (5), and Article 101 paragraph (6);Article 96 paragraph (8), Article 97 paragraph (3), Article 98 paragraph (3), Article 99 paragraph (5), Article 100 paragraph (5), and Article 101 paragraph (6);e;That in addition to Article 96 paragraph (8), Article 97 paragraph (3), Article 98 paragraph (3), Article 99 paragraph (5), Article 100 paragraph (5), and Article 101 paragraph (6) of Law Number 12 In 2003 concerning the General Election of Members of the DPR, DPD, and DPRD, it was stated that election participants and members of the public, through witnesses who were present, could submit objections to the course and results of vote counting at TPS, PPS, PPK, City/Regency KPUD, Provincial KPU, and Central KPU if it turns out there are things that are not in accordance with statutory regulations;107_051_PHPU.A-II.pdf;Regarding the General Election, Members of the DPR, DPD, and DPRD stated that election participants and members of the public, through witnesses who were present, could submit objections to the course and results of the vote count at the TPS, PPS, PPK, City/Regency KPUD, Provincial KPU, and Central KPU. If it turns out that there are things that are not in accordance with statutory regulations, it is on...\n A.  Article 96 paragraph (8), Article 95 paragraph (3), Article 98 paragraph (3), Article 99 paragraph (5), Article 100 paragraph (5), and Article 101 paragraph (6)\n B.  Article 96 paragraph (8), Article 95 paragraph (1), Article 98 paragraph (3), Article 99 paragraph (5), Article 100 paragraph (5), and Article 101 paragraph (6)\n C.  Article 96 paragraph (8), Article 96 paragraph (3), Article 98 paragraph (3), Article 99 paragraph (5), Article 100 paragraph (5), and Article 101 paragraph (6)\n D.  Article 96 paragraph (8), Article 97 paragraph (9), Article 98 paragraph (3), Article 99 paragraph (5), Article 100 paragraph (5), and Article 101 paragraph (6)\n E.  Article 96 paragraph (8), Article 97 paragraph (3), Article 98 paragraph (3), Article 99 paragraph (5), Article 100 paragraph (5), and Article 101 paragraph (6)
63;In essence, it states that applications can only be made regarding the determination of the results of the General Election conducted nationally by the General Election Commission which influences the election of DPD member candidates, the determination of the presidential and vice presidential candidate pairs and the acquisition of political party seats, on...;Whereas article 74 paragraph (2) of Law number 24 of 2003 concerning the Constitutional Court, Law number 12 of 2003 concerning General Election of Members of the DPR, DPD, DPRD;Whereas article 73 paragraph (2) of Law number 24 of 2003 concerning the Constitutional Court, Law number 12 of 2003 concerning General Election of Members of the DPR, DPD, DPRD;Whereas article 72 paragraph (2) of Law number 24 of 2003 concerning the Constitutional Court, Law number 12 of 2003 concerning General Election of Members of the DPR, DPD, DPRD;Whereas article 71 paragraph (2) of Law number 24 of 2003 concerning the Constitutional Court, Law number 12 of 2003 concerning General Election of Members of the DPR, DPD, DPRD;Whereas article 70 paragraph (2) of Law number 24 of 2003 concerning the Constitutional Court, Law number 12 of 2003 concerning General Election of Members of the DPR, DPD, DPRD;a;Whereas article 74 paragraph (2) of Law number 24 of 2003 concerning the Constitutional Court, Law number 12 of 2003 concerning the General Election of Members of the DPR, DPD, DPRD in essence states that petitions can only be made regarding the Determination of the results of General Elections conducted nationally by the General Election Commission which influences the election of DPD member candidates, the determination of presidential and vice presidential candidate pairs and the acquisition of political party seats.;116_032_PHPU.A-II1.pdf;In essence, it states that applications can only be made regarding the determination of the results of the General Election conducted nationally by the General Election Commission which influences the election of DPD member candidates, the determination of the presidential and vice presidential candidate pairs and the acquisition of political party seats, on...\n A.  Whereas article 74 paragraph (2) of Law number 24 of 2003 concerning the Constitutional Court, Law number 12 of 2003 concerning General Election of Members of the DPR, DPD, DPRD\n B.  Whereas article 73 paragraph (2) of Law number 24 of 2003 concerning the Constitutional Court, Law number 12 of 2003 concerning General Election of Members of the DPR, DPD, DPRD\n C.  Whereas article 72 paragraph (2) of Law number 24 of 2003 concerning the Constitutional Court, Law number 12 of 2003 concerning General Election of Members of the DPR, DPD, DPRD\n D.  Whereas article 71 paragraph (2) of Law number 24 of 2003 concerning the Constitutional Court, Law number 12 of 2003 concerning General Election of Members of the DPR, DPD, DPRD\n E.  Whereas article 70 paragraph (2) of Law number 24 of 2003 concerning the Constitutional Court, Law number 12 of 2003 concerning General Election of Members of the DPR, DPD, DPRD
64;That if the applicant's application is accepted, quod non, article 96 paragraph (8), article 97 paragraph (3), article 98 paragraph (3), article 99 paragraph (5), article 100 paragraph (5) and article 101 paragraph (6) UU no. 12 of 2003 concerning the General Election of Members of the DPR, DPD, DPRD, reads...;Mentioning that election participants and members of the public who take part in general elections must be Indonesian citizens is legally wrong;Mentions that election participants and members of the public, through witnesses who are present, can submit objections to the process and results of vote counting at TPS, PPS, PPK, City/Regency KPUD, Provincial KPUD and Central KPU if it turns out that there are things that are not in accordance with statutory regulations.;Mentioned that the vote counting was carried out by the surrounding RT/RW to make it better;Mention that TPU provider participants must have witnesses from each party who submits their candidate;Mentions that participants must comply with the rules;b;That if the applicant's application is accepted, quod non, article 96 paragraph (8), article 97 paragraph (3), article 98 paragraph (3), article 99 paragraph (5), article 100 paragraph (5) and article 101 paragraph (6) UU no. 12 of 2003 concerning the General Election of Members of the DPR, DPD, DPRD states that election participants and members of the public, through witnesses who are present, can submit objections to the course and results of vote counting at TPS, PPS, PPK, City/Regency KPUD, Provincial KPUD and Central KPU. if it turns out that there are things that are not in accordance with statutory regulations;116_032_PHPU.A-II1.pdf;That if the applicant's application is accepted, quod non, article 96 paragraph (8), article 97 paragraph (3), article 98 paragraph (3), article 99 paragraph (5), article 100 paragraph (5) and article 101 paragraph (6) UU no. 12 of 2003 concerning the General Election of Members of the DPR, DPD, DPRD, reads...\n A.  Mentioning that election participants and members of the public who take part in general elections must be Indonesian citizens is legally wrong\n B.  Mentions that election participants and members of the public, through witnesses who are present, can submit objections to the process and results of vote counting at TPS, PPS, PPK, City/Regency KPUD, Provincial KPUD and Central KPU if it turns out that there are things that are not in accordance with statutory regulations.\n C.  Mentioned that the vote counting was carried out by the surrounding RT/RW to make it better\n D.  Mention that TPU provider participants must have witnesses from each party who submits their candidate\n E.  Mentions that participants must comply with the rules
65;Citizens who have the right to vote, election observers and/or election participants can report election violations at any stage of election implementation to the Election Supervisor (Panwaslu), located at…;Article 121 paragraph (1) and paragraph (2) of Law no. 12 of 2003;Article 122 paragraph (1) and paragraph (2) of Law no. 12 of 2003;Article 127 paragraph (1) and paragraph (2) of Law no. 12 of 2003;Article 126 paragraph (1) and paragraph (2) of Law no. 12 of 2003;Article 125 paragraph (1) and paragraph (2) of Law no. 12 of 2003;c;That if there are allegations of fraud or manipulation carried out by certain parties, including the election organizers in DKI Jakarta, then according to article 127 paragraph (1) and paragraph (2) of Law no. 12 of 2003, citizens who have the right to vote, election observers and/or election participants can report election violations at any stage of election implementation to the Election Supervisor (Panwaslu).;116_032_PHPU.A-II1.pdf;Citizens who have the right to vote, election observers and/or election participants can report election violations at any stage of election implementation to the Election Supervisor (Panwaslu), located at…\n A.  Article 121 paragraph (1) and paragraph (2) of Law no. 12 of 2003\n B.  Article 122 paragraph (1) and paragraph (2) of Law no. 12 of 2003\n C.  Article 127 paragraph (1) and paragraph (2) of Law no. 12 of 2003\n D.  Article 126 paragraph (1) and paragraph (2) of Law no. 12 of 2003\n E.  Article 125 paragraph (1) and paragraph (2) of Law no. 12 of 2003
